date,A,AA,AA.PB,AAC,AAN,AAP,AAT,AAV,AB,ABB
2016-06-06,45.626144,29.434156,33.128399,21.77,24.765071,150.119185,40.496771,6.09,23.308167,20.385222
2016-06-07,45.516704,29.284592,33.013171,22.280001,24.904929,151.588004,40.931581,6.15,23.180533,20.625387
2016-06-08,45.914666,29.583719,33.378061,21.58,25.674156,153.396546,41.140367,6,23.298349,20.625387
2016-06-09,45.854971,29.434156,33.435677,21.09,24.665171,156.653919,41.080713,5.95,23.111806,20.308369
2016-06-10,45.128694,28.387208,32.657879,20.16,23.676167,152.896948,40.951465,5.81,22.561991,19.866466
2016-06-13,44.690935,27.878691,32.081877,19.959999,22.97687,152.427324,40.951465,5.69,22.640536,19.472595
2016-06-14,44.680988,27.22061,31.543098,19.9,22.507343,152.507262,40.573668,5.64,22.05145,19.386136
2016-06-15,44.710834,28.267558,32.610861,19.870001,22.517334,153.576812,40.643262,5.53,22.090723,19.530234
2016-06-16,45.138641,28.088081,32.130856,19.879999,22.487363,153.876691,40.762566,5.41,22.129996,19.511021
2016-06-17,45.128694,28.656423,32.826371,19.24,22.687161,154.486441,40.494129,5.61,22.561991,19.741579
2016-06-20,45.904715,29.194854,33.306376,19.559999,22.797051,155.516016,40.464304,5.7,22.630718,20.125845
2016-06-21,45.924614,29.493981,33.482704,19.639999,22.217634,154.376486,40.683028,5.63,22.542355,20.45247
2016-06-22,45.795275,29.583719,33.551276,19.940001,21.957895,153.097013,40.603493,5.5,22.807444,20.423649
2016-06-23,46.441962,30.361452,34.285975,20.49,22.457393,154.866274,40.802335,5.54,22.787807,20.769488
2016-06-24,43.895015,28.058168,32.395348,20.75,21.708147,154.456455,40.563724,5.36,22.179086,19.097936
2016-06-27,42.0445,27.22061,31.415749,20.030001,21.078781,153.716753,40.474245,5.33,21.167821,18.531148
2016-06-28,42.890167,27.908604,32.307184,21.08,21.168691,156.915434,41.34915,5.42,21.786363,18.569573
2016-06-29,43.536851,27.22061,31.592077,22,22.017836,160.943776,41.697121,5.69,22.532538,18.675247
2016-06-30,44.250079,27.729127,32.199428,22.82,21.867986,161.563531,42.194226,5.59,22.87617,19.049904
2016-07-01,44.489482,28.566685,32.95372,22.74,22.357493,164.262417,42.283705,5.64,22.748536,19.126757
2016-07-05,43.64159,27.699216,32.150449,22.5,22.147705,161.123709,43.029361,5.42,22.179086,18.55036
2016-07-06,44.359807,27.489826,31.993713,22.280001,22.817031,161.383597,42.69133,5.72,22.41472,18.57918
2016-07-07,44.309928,27.938518,32.522697,22.77,22.677173,161.063737,42.621736,5.8,22.542355,18.608001
2016-07-08,45.367303,29.374329,33.659032,22.65,23.276568,164.782208,43.128785,5.81,22.758354,18.9
2016-07-11,45.287503,30.331538,34.607283,22.49,23.616226,163.622681,43.357452,5.73,23.062715,19.360001
2016-07-12,46.4147,31.97674,35.804354,22.42,23.845996,163.48274,43.417102,5.85,23.101988,19.530001
2016-07-13,46.294998,32.036566,35.951295,22.440001,23.566277,162.843003,44.411311,5.82,22.98417,19.629999
2016-07-14,46.684031,32.036566,35.765169,22.92,23.666177,164.892163,44.311892,6.09,22.98417,19.950001
2016-07-15,46.554353,32.664732,36.362725,22.99,23.396448,164.522305,44.461025,6.29,23.229622,20
2016-07-18,46.684031,32.664732,36.441095,23.030001,23.396448,164.332381,44.371546,6.48,23.386712,19.93
2016-07-19,46.863586,31.797263,35.716189,22.59,23.116729,163.632672,44.272123,6.28,23.317985,20.110001
2016-07-20,46.89351,31.737438,35.481088,21.84,23.06678,163.682654,44.45108,6.49,23.740164,20.24
2016-07-21,46.554353,31.707524,35.725988,21.85,22.9469,164.022511,44.848766,6.43,23.602711,20.700001
2016-07-22,46.464579,31.617786,35.451697,22.1,22.707141,165.961715,45.047608,6.56,23.975798,20.91
2016-07-25,46.025667,31.378484,35.099045,22.620001,23.06678,166.601451,45.156968,6.23,24.152524,20.84
2016-07-26,46.833661,31.916913,35.490882,22.75,23.226619,166.16163,45.29616,6.38,23.671438,20.969999
2016-07-27,47.142891,32.126305,35.931703,23.52,22.87697,164.662247,44.431196,6.32,23.848164,20.940001
2016-07-28,47.392271,31.946828,35.853333,22.67,21.927927,170.26994,44.848766,6.24,23.494712,21.07
2016-07-29,47.990787,31.767351,35.461495,22.67,23.925915,169.790142,45.614307,6.35,23.524165,21.25
2016-08-01,47.75138,31.318659,35.05986,21.5,24.075764,168.430701,45.654072,6.11,23.141259,21.07
2016-08-02,47.063091,30.869967,34.775775,21.26,23.676167,166.541479,45.196737,6.24,22.041633,21.08
2016-08-03,46.973314,31.229967,34.785569,19.959999,23.796045,168.580633,44.858706,6.37,21.59,21
2016-08-04,46.71396,31.199968,35.167616,20.02,23.935904,170.110002,44.888535,6.45,21.82,21.23
2016-08-05,47.372324,31.499967,35.138226,18.790001,24.635201,170.419888,44.888535,6.67,21.34,21.299999
2016-08-08,47.112966,31.349968,35.108839,18.809999,24.545291,168.810549,45.107258,6.72,21.879999,21.389999
2016-08-09,47.332422,31.049967,34.726796,18.049999,24.555281,166.431523,45.485059,6.73,21.67,21.559999
2016-08-10,47.392271,30.989967,34.609245,17.17,24.525311,166.581455,45.683901,6.65,21.549999,21.860001
2016-08-11,48.010738,31.259968,34.952103,17.450001,24.884949,166.641444,45.077433,6.77,21.49,22.02
2016-08-12,48.020711,30.509968,34.501488,17.35,24.755081,165.931729,45.147027,6.87,21.93,22.07
2016-08-15,48.319967,31.559967,35.373331,18.549999,25.024808,167.691,44.580329,7,22.200001,22.129999
2016-08-16,48.160364,30.869969,34.530875,18.280001,24.904929,160.334026,44.252238,7.22,21.860001,22.049999
